Couvreur， Séraphin,顧賽芬
Cranford， John M.,顧洛阜
Creel， Herrlee G.,顧立雅
Crespi， John A.,江克平
Cressey， George B.,葛德石
Criscuolo， Catello,卡特羅
Criveller， Gianni,柯毅霖
Crossley， Pamela Kyle,柯嬌燕
Crowe， Paul,高保羅
Crowell， William G.,孔為廉
Crump， James I. Jr,柯潤璞  / 柯迂儒
Crush， Peter,柯睿思
Csikszentmihalyi， Mark,齊思敏
Cua， Antonio S.,柯雄文
Cuadrado， Clara Y.,于漪
Cui， Jie,崔捷
Cui， Zhiyuan,崔之元
Culp， Robert,高哲一
Currier， Carrie Liu,劉凱莉
Cutter， Robert J.,高德耀
,
D,
Dabringhaus， Sabine,達素彬
Dahn， Alvin,陳建龍
Dai， Shih-chan,戴士展
Dai， Weiqun,戴為群
Damerow， Peter,戴培德
Damm， Jens,達嚴思
Daniels， Christian,唐立
Dardess， John W.,達第斯
D’Arelli， Francesco,達仁理
D’Argenio， Linda,蓮達
Darrobers， Roger,戴鶴白
Darshani， Avi,達熠銘
Daruvala， Susan,蘇文瑜
Daurov， Ramazan,達洛夫
Dautcher， Jay,丁兆然
David， Hong,劉虹
Davis， Deborah,戴慧斯
Davis， Edward,戴安德
Davis， Richard,戴仁柱
Davis， Scott,戴思客
Dawley， Evan Nicholas,戴維理
De Bary， William Theodore,狄百瑞、狄培理
De Bruyn， Pierre-Henry,德保仁
De Crespigny， Rafe,張磊夫
De Jong， Alice,雍莉
De Lacouperie， Albert Étienne Jean-Baptiste Terrien,拉克伯里
De Meyer， Jan,麥約翰
De Pee， Christian,裴志昂
De Rachewiltz， Igor,羅依果
De Reu， Wim,魏家豪
De Troia， Paolo,保羅
De Weerdt， Hilde,魏希德
Dean， Kenneth,丁荷生
DeBernardi， Jean,白瑨
Debevoise， Jane,杜柏貞
Debon， Günther,德博
Dedman， Adam Kyle,戴雍浩
Deeg， Max,寧梵夫
Deeney， John J.,李達三
Deepak， B. R.,狄伯杰
Defoort， Carine,戴卡琳
DeFrancis， John,德范克
Dehergne， Joseph,榮振華
Deklerck， Stijn,涂建平
Delamarre， Louis Charles,艾嘉略
D’Elia， Paschal M.,德禮賢
Delisle， Jacques,戴傑
Dell’Orto， Alessandro,戴德中
Delmestro， Manuél E.,歐陽永樂
Dematte， Monica,莫妮卡
Demiéville， Paul,戴密微
Demuth， Sebastian,鄧愛森
Denecke， Wiebke,魏樸和
Deng， Kent G.,鄧鋼
Deng， Yong,鄧勇
Dennerline， Jerry,鄧爾麟
Dennis， Joe,戴思哲
Denton， Kirk Alexander,鄧騰克
Deppman， Hsiu-Chuang,蔡秀粧
Des Forges， Alexander,戴沙迪
Desirat， Michel,鄧士涵
Des Rotours， Robert,戴何都
Despeux， Catherine,戴思博
Dessein， Bart,巴得勝
Détrie， Muriel,戴慕容
DeVido， Elise A.,戴愛蓮
Dew， James E.,杜爾文
DeWoskin， Kenneth,杜志豪
Diamond， Norma,戴瑪瑙
Diamant， Neil,戴茂功
Dibeltulo， Martino,馬蒂
Di Biase， Imma,狄雅斯
Dickey， Lauren,王洛伶
Di Cosmo， Nicola,狄宇宙
Diefenbach， Thilo,蔣永學
Dien， Albert E.,丁愛博
Diény， Jean-Pierre,桀溺
Diez de Velasco， Francisco,狄十鴉
Dikarev， Andrey,吉安德
Dikötter， Frank,馮客
Dilley， Whitney Crothers,柯瑋妮
Dimberg， Ronald,丁博
Ding， Naifei,丁乃非
Ding， Sheng,丁勝
Ding， Xueliang,丁學良
Ditmanson， Peter,戴彼得
Dittmer， Lowell,羅德明
Djang， Chu,章楚
Dluhošová， Táňa,路丹妮
Dobson， W.A.C.H.,杜百勝
Doell， Steffen,道諦芬
Doeringer， Franklin M.,竇瑞格
Dolby， William,杜為廉
Doleželová-Velingerová， Milena,米列娜
Dolinski， Michel,杜思齊
Domes， Jürgen,杜勉
Dong， Madeleine Yue,董玥
Dong， Xiaoyuan,董曉媛
Donnithorne， Audrey G.,董育德
Doré， Henri,祿是遒
Dott， Brian,達白安
Doyle， Alan,歐義明
Drake， F. S.,林仰山
Drège， Jean-Pierre,戴仁
Drettas， Dimitri,賀旦思
Dreyer， June Teufel,金德芳
Dschi， Hiän-lin,季羨林
Du， Nancy,杜南馨
Du， Shanshan,杜珊珊
Du， Wenwei,都文偉
Du Halde， Jean-Baptiste,杜赫德
Duanmu， San,端木三
Duara， Prasenjit,杜贊奇
Dube， Clayton,杜克雷
DuBois， Thomas David,杜博思
Dubs， Homer H.,德效騫
Dudbridge， Glen,杜德橋
Dudink， Ad,杜鼎克
Dumoulin， Heinrich,杜默林、杜梅林
Dunajevs， Georgijs,葛思語
Dunch， Ryan,唐日安
Dunnell， Ruth W.,鄧如萍
Dunstan， Helen,鄧海倫
Durand， Pierre-Henri,戴廷傑
Durand-Dastès， Vincent,戴文琛
Durrant， Stephen W.,杜潤德
Dutournier， Guillaume,杜傑庸
Dutrait， Noël,杜特萊
Duyvendak， J.J.L.,戴聞達
Dvorak， Rudolf,沃夏克
Dykstra， Maura,戴史翠
,
E,
Eastman， Lloyd E. O.,易勞逸
Eben von Racknitz， Ines,艾伊娜
Eber， Irene,伊愛蓮
Eberhard， Wolfram,艾伯華
Eberhardt， Christopher,汪哲魏
Eberspächer， Cord,培高德
Ebrey， Patricia B.,伊佩霞
Ecke， Gustav,艾克
Eckstein，Alexander,艾伯華
Economy， Elizabeth,伊明
Eder， Matthias,葉德禮
Edgren， Sören,艾思仁
Edin，Maria,金山愛
Edkins， Joseph,艾約瑟
Edmonds， Richard Louis,安瑞志
Edwards，Louise P.,李木蘭
Edwards，R. Randle,艾德華  / 愛德華  / 愛德華茲
