,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数
399,Clarence M. Wilbur,Wilbur,Clarence M.,韦慕庭,韦慕庭,韋慕庭,0,0,Wilbur, Clarence M.,0.0,0.0,0,0,10
400,Clarence Martin Wilbur,Wilbur,Clarence Martin,韋慕庭,韦慕庭,韋慕庭,0,0,Wilbur, Clarence Martin,0.0,0.0,0,0,10
409,Philip Wickeri,Wickeri,Philip,魏克利,魏克利,魏克利,0,0,Wickeri, Philip,0.0,0.0,0,0,10
410,Philip L. Wickeri,Wickeri,Philip L.,魏克利,魏克利,魏克利,0,0,Wickeri, Philip L.,0.0,0.0,0,0,10
413,Martin K. Whyte,Whyte,Martin K.,怀默霆,怀默霆,懷默霆,0,0,Whyte, Martin K.,0.0,0.0,0,0,10
414,Martin King Whyte,Whyte,Martin King,懷默霆,怀默霆,懷默霆,0,0,Whyte, Martin King,0.0,0.0,0,0,10
416,Susan Whiting,Whiting,Susan,白素珊,白素珊,白素珊,0,0,Whiting, Susan,0.0,0.0,0,0,20
428,Stephen H. West,West,Stephen H.,奚如谷,奚如谷,奚如谷,0,0,West, Stephen H.,0.0,0.0,0,0,10
429,Stephen H. West,West,Stephen H.,奚如穀,奚如谷,奚如穀,0,0,West, Stephen H.,0.0,0.0,0,0,10
445,Susan R. Weld,Weld,Susan R.,羅鳳鳴,罗凤鸣,羅鳳鳴,0,0,Weld, Susan R.,0.0,0.0,0,0,10
446,Susan Roosevelt Weld,Weld,Susan Roosevelt,罗凤鸣,罗凤鸣,羅鳳鳴,0,0,Weld, Susan Roosevelt,0.0,0.0,0,0,10
452,Oliver Weingarten,Weingarten,Oliver,韦礼文,韦礼文,韋禮文,0,0,Weingarten,Oliver,0.0,0.0,0,0,10
453,Oliver Weingarten,Weingarten,Oliver,韋禮文,韦礼文,韋禮文,0,0,Weingarten, Oliver,0.0,0.0,0,0,10
475,Burton Watson,Watson,Burton,华兹生,华兹生,華茲生,0,0,Watson, Burton,0.0,0.0,0,0,20
476,Burton Watson,Watson,Burton,华兹生,华兹生,華茲生,0,0,Watson,Burton,0.0,0.0,0,0,12
477,James Watson,Watson,James,华琛,华琛,華琛,0,屈顺夫,Watson, James,0.0,0.0,0,0,10
478,James L. Watson,Watson,James L.,華琛,华琛,華琛,0, 屈順夫,Watson, James L.,0.0,0.0,0,0,10
502,David Wang,Wang,David,王德威,王德威,王德威,0,0,Wang, David,0.0,0.0,0,0,10
503,David Der-Wei Wang,Wang,David Der-Wei,王德威,王德威,王德威,0,0,Wang, David Der-Wei,0.0,0.0,0,0,10
506,Edward Wang,Wang,Edward,王晴佳,王晴佳,王晴佳,0,0,Wang, Edward,0.0,0.0,0,0,10
509,Fei-ling Wang,Wang,Fei-ling,王飞凌,王飞凌,王飛凌,0,0,Wang, Fei-ling,0.0,0.0,0,0,10
510,Fei-ling Wang,Wang,Fei-ling,王飛淩,王飞凌,王飛淩,0,0,Wang, Fei-ling,0.0,0.0,0,0,10
513,Gang Wang,Wang,Gang,王崗,王岗,王崗,0,0,Wang, Gang,0.0,0.0,0,0,10
516,Gungwu Wang,Wang,Gungwu,王賡武,王赓武,王賡武,0,0,Wang, Gungwu,0.0,0.0,0,0,10
517,Gung-wu Wang,Wang,Gung-wu,王賡武,王赓武,王賡武,0,0,Wang, Gung-wu,0.0,0.0,0,0,10
525,Isabel Wang,Wang,Isabel,王豔君,王艳君,王豔君,0,0,Wang, Isabel,0.0,0.0,0,0,10
