,名字,姓,名,中文名,汉名,漢名,洋名又名,汉名又名,无调姓,无调名,生年,卒年,族裔,备注,加权计数,异文
2066,Ji-hyun Kim,Kim,Ji-hyun,金志玹,金志玹,金志玹,0,0,Kim, Ji-hyun,0,0,0,0,10,
2062,Elizabeth Kindall,Kindall,Elizabeth,金漪妮,金漪妮,金漪妮,0,0,Kindall, Elizabeth,0,0,0,0,10,
2058,Gail O. King,King,Gail O.,蓋爾·金,盖尔·金,蓋爾·金,0,0,King, Gail O.,0,0,0,0,10,
2059,Paul King,King,Paul,金培尧,金培尧,金培堯,0,0,King, Paul,0,0,0,0,20,
2060,Richard King,King,Richard,金瑞,金瑞,金瑞,0,0,King, Richard,0,0,0,0,10,
2061,Winnie King,King,Winnie,金婉玲,金婉玲,金婉玲,0,0,King, Winnie,0,0,0,0,10,
3710,Ambrose Y.C King,King,Ambrose Y.C,金耀基,金耀基,金耀基,0,0,King, Ambrose Y.C,0,0,0,0,10,Ambrose Y.C. King
2057,Jeffrey C. Kinkley,Kinkley,Jeffrey C.,金介甫,金介甫,金介甫,0,0,Kinkley, Jeffrey C.,0,0,0,0,20,
2056,Anne B. Kinney,Kinney,Anne B.,司马安,司马安,司馬安,0,0,Kinney, Anne B.,0,0,0,0,20,
2055,Judd C. Kinzley,Kinzley,Judd C.,金家德,金家德,金家德,0,0,Kinzley, Judd C.,0,0,0,0,20,
2054,Andrew B. Kipnis,Kipnis,Andrew B.,任柯安,任柯安,任柯安,0,0,Kipnis, Andrew B.,0,0,0,0,20,
3709,William Kirby,Kirby,William,柯伟林,柯伟林,柯偉林,0,0,Kirby, William,0,0,0,0,10,William C. Kirby
2053,Russell Kirkland,Kirkland,Russell,柯克兰,柯克兰,柯克蘭,0,0,Kirkland, Russell,0,0,0,0,20,
2052,Sivin Kit,Kit,Sivin,郭曉鳴,郭晓鸣,郭曉鳴,0,0,Kit, Sivin,0,0,0,0,10,
2051,Todd Klaiman,Klaiman,Todd,牟傳門,牟传门,牟傳門,0,0,Klaiman, Todd,0,0,0,0,10,
2050,Weronika Klebba,Klebba,Weronika,柯文妮,柯文妮,柯文妮,0,0,Klebba, Weronika,0,0,0,0,10,
3708,Terry Kleeman,Kleeman,Terry,祁泰履,祁泰履,祁泰履,0,0,Kleeman, Terry,0,0,0,0,10,Terry F. Kleeman
2049,Faye Yuan Kleeman,Kleeman,Faye Yuan,阮斐娜,阮斐娜,阮斐娜,0,0,Kleeman, Faye Yuan,0,0,0,0,10,
3707,Kenneth Klein,Klein,Kenneth,柯兰谷,柯兰谷,柯蘭谷,0,0,Klein, Kenneth,0,0,0,0,10,Kenneth Klein
2048,Kristina Kleutghen,Kleutghen,Kristina,李啟樂,李启乐,李啟樂,0,0,Kleutghen, Kristina,0,0,0,0,10,
2047,Ondřej Klimeš,Klimeš,Ondřej,林昂,林昂,林昂,0,0,Klimes, Ondrej,0,0,0,0,10,
2046,Volker Klöpsch,Klöpsch,Volker,呂褔克,吕褔克,呂褔克,0,0,Klopsch, Volker,0,0,0,0,10,
2045,Henning Klöter,Klöter,Henning,韓可龍,韩可龙,韓可龍,0,0,Kloter, Henning,0,0,0,0,10,
2044,Sascha Klotzbücher,Klotzbücher,Sascha,柯路山,柯路山,柯路山,0,0,Klotzbucher, Sascha,0,0,0,0,10,
2043,Ronald G. Knapp,Knapp,Ronald G.,那仲良,那仲良,那仲良,0,0,Knapp, Ronald G.,0,0,0,0,10,
2042,Keith Knapp,Knapp,Keith,南恺时,南恺时,南愷時,0,0,Knapp, Keith,0,0,0,0,20,
3706,David Knechtges,Knechtges,David,康達維,康达维,康達維,0,0,Knechtges, David,0,0,0,0,10,David R. Knechtges
2041,Taiping Chang Knechtges,Knechtges,Taiping Chang,張泰平,张泰平,張泰平,0,0,Knechtges, Taiping Chang,0,0,0,0,10,
2040,Sabina Knight,Knight,Sabina,桑稟華,桑禀华,桑稟華,0,0,Knight, Sabina,0,0,0,0,20,
2039,John Knoblock,Knoblock,John,王志民,王志民,王志民,0,0,Knoblock,John,1938,1999,美国,0,11,
2037,Dorothy Ko,Ko,Dorothy,高彥颐,高彦颐,高彥頤,0,0,Ko, Dorothy,0,0,0,0,20,
